,category,contract,output_num,input_len,output_len,inout_len,exec_time
63,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,3,1420,1351,2771,24
64,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,4,1420,1427,2847,21
65,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,0,1438,1239,2677,24
66,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,1,1438,1365,2803,30
67,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,2,1438,1487,2925,26
68,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,3,1438,1313,2751,33
69,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,4,1438,1347,2785,22
70,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,0,1650,1777,3427,34
71,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,1,1650,1726,3376,23
72,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,2,1650,1681,3331,33
73,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,3,1650,1678,3328,21
74,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,4,1650,1658,3308,24
75,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,0,1606,1672,3278,41
76,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,1,1606,1692,3298,32
77,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,2,1606,1612,3218,43
78,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,3,1606,1581,3187,33
79,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,4,1606,1605,3211,40
80,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,0,1610,1743,3353,25
